name,industry,symbol,url,EPS,Divident,CurrentStockPrice,currentRatio,dividentYeild
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aiaengineering/AIE01,62.31,900,1505.8,5.64,1.20%
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,114.16,325,2032.15,10.97,1.60%
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blissgvspharma/BGV,6.36,50,152.75,2.85,0.33%
Coal India Ltd.,METALS,COALINDIA,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,25.87,274,316.25,3.22,8.66%
Cyient Ltd.,IT,CYIENT,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,20.75,140,470.7,5.46,1.49%
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,41.73,500,748.5,6.04,1.34%
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,7.67,80,152.6,2.45,2.63%
FDC Ltd.,PHARMA,FDC,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,8.82,225,211,3.03,1.07%
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,8.14,275,153.2,2.89,3.58%
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,18.34,130,330.65,2.15,1.97%
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,7.55,150,116,4.41,2.59%
Hindustan Zinc Ltd.,METALS,HINDZINC,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,19.33,1,299.8,2.44,9.28%
Infosys Ltd.,IT,INFY,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT,68.73,485,1000.1,2.97,2.43%
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,http://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08,3.9,50,71.25,4.25,0.70%
KPIT Technologies Ltd.,IT,KPIT,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kpittechnologies/KPI02,10.75,110,131.65,2.76,1.67%
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,16.53,305,347.6,2.57,0.88%
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01,25.65,125,459.4,2.75,0.54%
Lupin Ltd.,PHARMA,LUPIN,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,64.03,375,1458.7,3.15,0.51%
