name,industry,symbol,url,EPS,Divident,CurrentStockPrice,currentRatio,dividentYeild
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aiaengineering/AIE01,62.31,900,1359.95,5.64,1.33%
Cyient Ltd.,IT,CYIENT,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,20.75,140,463.25,5.46,1.51%
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,http://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08,3.9,50,72.25,4.25,0.69%
Lupin Ltd.,PHARMA,LUPIN,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,64.03,375,1475.6,3.15,0.51%
Hindustan Zinc Ltd.,METALS,HINDZINC,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,19.33,1,319.8,2.44,8.67%
V-Guard Industries Ltd.,INDUSTRIAL MANUFACTURING,VGUARD,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vguardindustries/VI02,37.12,70,212.5,2.49,0.33%
Unichem Laboratories Ltd.,PHARMA,UNICHEMLAB,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/unichemlaboratories/UL02,11.07,100,270.4,2.37,0.74%
SJVN Ltd.,ENERGY,SJVN,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sjvn/S11,3.4,11,33.65,6.09,3.26%
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,104.2,700,1254.4,2.07,2.79%
Torrent Power Ltd.,ENERGY,TORNTPOWER,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,16.98,45,202.2,2.12,2.24%
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,8.14,275,139,2.89,3.96%
Tata Consultancy Services Ltd.,IT,TCS,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS,116.13,4,2341.7,3.01,1.85%
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU,80.36,150,1950,2.19,0.77%
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,41.73,500,757.7,6.04,1.32%
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,14.01,20,332.25,4.04,0.60%
