currentStockPrice,movingAveragePrice,changePercentage,name,symbol
98.35,159.07,-38.171874017728044,Bliss GVS Pharma Ltd.,BLISSGVS
129,114.51,12.653916688498814,DLF Ltd.,DLF
41.85,37.78,10.77289571201694,National Aluminium Co. Ltd.,NATIONALUM
535.7,508.11,5.42992659069887,Tech Mahindra Ltd.,TECHM
440.35,455.8,-3.389644580956557,Mahindra Lifespace Developers Ltd.,MAHLIFE
2572.05,2456.32,4.711519671704012,Tata Consultancy Services Ltd.,TCS
187,205.77,-9.121835058560533,FDC Ltd.,FDC
656.05,717.49,-8.563185549624393,Clariant Chemicals (India) Ltd.,CLNINDIA
215.45,244.34,-11.823688303184094,Hexaware Technologies Ltd.,HEXAWARE
146.8,154.51,-4.989968286842263,Sonata Software Ltd.,SONATSOFTW
184,198.67,-7.384104293552116,Torrent Power Ltd.,TORNTPOWER
148.7,215.27,-30.923955962279937,Cox & Kings Ltd.,COX&KINGS
467.45,431,8.457076566125288,Vinati Organics Ltd.,VINATIORGA
73,70.63,3.355514653829824,Gujarat State Fertilizers & Chemicals Ltd.,GSFC
292.1,262.74,11.17454517774226,Kansai Nerolac Paints Ltd.,KANSAINER
381.5,366.61,4.061536782957362,Sun TV Network Ltd.,SUNTV
27.95,27.83,0.4311893639956917,SJVN Ltd.,SJVN
415.65,416.66,-0.24240387846206682,Birla Corporation Ltd.,BIRLACORPN
993.7,1152.48,-13.777245592114395,CARE Ltd.,CARERATING
92.5,93.37,-0.9317768019706593,NMDC Ltd.,NMDC
938.35,912.07,2.881357790520461,AIA Engineering Ltd.,AIAENG
594.3,479.21,24.01661067173055,Tata Sponge Iron Ltd.,TATASPONGE
1183.15,1189.69,-0.5497230370936936,Bharat Electronics Ltd.,BEL
1545,1631.48,-5.300708559099714,Shriram City Union Finance Ltd.,SHRIRAMCIT
240.85,250.77,-3.955816086453728,Kirloskar Oil Eng Ltd.,KIRLOSENG
179.75,191.93,-6.346063669046009,Engineers India Ltd.,ENGINERSIN
1083.45,1078.49,0.45990227076746526,Divi's Laboratories Ltd.,DIVISLAB
1364.45,1325.88,2.9090113735782976,eClerx Services Ltd.,ECLERX
349.25,375,-6.866666666666667,Oil India Ltd.,OIL
255.65,264.69,-3.4153160300729124,J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM
87.8,91.23,-3.7597281595966314,Tata Coffee Ltd.,TATACOFFEE
968.55,934.38,3.6569703974828185,Zensar Technolgies Ltd.,ZENSARTECH
754.65,852.05,-11.431254034387651,HCL Technologies Ltd.,HCLTECH
667.1,708.48,-5.840672990063233,MindTree Ltd.,MINDTREE
467.45,489.92,-4.586463096015681,Cyient Ltd.,CYIENT
168.5,153.79,9.564991221795962,Hindustan Zinc Ltd.,HINDZINC
128.2,164.1,-21.876904326630108,Bharat Heavy Electricals Ltd.,BHEL
492.05,456.34,7.825305693123556,MphasiS Ltd.,MPHASIS
281.35,320.57,-12.234457372804682,Coal India Ltd.,COALINDIA
309.6,280.64,10.319270239452694,TV Today Network Ltd.,TVTODAY
218.65,212.78,2.7587179246169775,MOIL Ltd.,MOIL
70.9,61.23,15.792911971255934,Jai Corp Ltd.,JAICORPLTD
440.25,421.64,4.413717863580309,Kaveri Seed Company Ltd.,KSCL
733.45,675.75,8.5386607473178,Persistent Systems Ltd.,PERSISTENT
69.05,74.76,-7.63777421080793,Neyveli Lignite Corporation Ltd.,NEYVELILIG
1246.4,1132.09,10.0972537519102,Infosys Ltd.,INFY
744.5,881.94,-15.583826564165367,Bharat Forge Ltd.,BHARATFORG
68.4,72.49,-5.642157538970878,Gujarat Mineral Development Corporation Ltd.,GMDCLTD
