currentStockPrice,movingAveragePrice,changePercentage,name,symbol
1372.5,1476.13,-7.020384383489266,eClerx Services Ltd.,ECLERX
189.1,165.27,14.418829793670952,Sonata Software Ltd.,SONATSOFTW
212,167.17,26.817012621881926,V-Guard Industries Ltd.,VGUARD
1700.5,1351.84,25.791513788614047,Nilkamal Ltd.,NILKAMAL
1505.05,1183.61,27.15759413996165,AIA Engineering Ltd.,AIAENG
316.55,313.45,0.9889934598819662,Coal India Ltd.,COALINDIA
131.9,142.47,-7.41910577665473,KPIT Technologies Ltd.,KPIT
475.3,500.09,-4.957107720610283,Wipro Ltd.,WIPRO
331,300.56,10.127761511844556,Oberoi Realty Ltd.,OBEROIRLTY
175.75,191.84,-8.387197664720603,Suven Life Sciences Ltd.,SUVEN
3687.75,3878.84,-4.926472863020907,Lakshmi Machine Works Ltd.,LAXMIMACH
468.5,486.5,-3.6998972250770814,Cyient Ltd.,CYIENT
929.65,986.29,-5.7427328676150005,Zensar Technolgies Ltd.,ZENSARTECH
1457.9,1522.79,-4.261257297460574,Lupin Ltd.,LUPIN
2028,1834.69,10.53638489336073,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
2408.15,2419.93,-0.4867909402337979,Tata Consultancy Services Ltd.,TCS
1261.7,1419.01,-11.085897914743374,Torrent Pharmaceuticals Ltd.,TORNTPHARM
299.7,232.45,28.93095289309529,Hindustan Zinc Ltd.,HINDZINC
50090,42986.36,16.52533501324606,MRF Ltd.,MRF
266.15,298.76,-10.915115812023034,TV Today Network Ltd.,TVTODAY
